Formulario;Grupo;Bloco_Eixo;Nome_Bloco_Eixo;Codigo_Pergunta;Tipo_Campo;Obrigatoria;Acao_Condicional;Observacao
Exame por Provas;Exame;Bloco 0;Identificacao da avaliacao;Identificacao_Respondente;Texto curto;NAO;;Identificacao (opcional)
Exame por Provas;Exame;Bloco 0;Identificacao da avaliacao;Entidade_Certificadora;Select;SIM;;Entidade certificadora
Exame por Provas;Exame;Bloco 0;Identificacao da avaliacao;Tipo_Certificacao;Select;SIM;;Tipo de Certificacao realizada
Exame por Provas;Exame;Bloco 0;Identificacao da avaliacao;Nivel_Certificacao;Select;SIM;;Nivel da Certificacao
Exame por Provas;Exame;Bloco 0;Identificacao da avaliacao;Modalidade_Prova;Select;SIM;;Realizacao da prova
Exame por Provas;Exame;Bloco 0;Identificacao da avaliacao;Data_Exame;Texto curto;SIM;;Data de realizacao do exame
Exame por Provas;Exame;Bloco 1;Organizacao e infraestrutura;B1_1.1;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O ambiente de realizacao da prova apresentou condicoes adequadas.
Exame por Provas;Exame;Bloco 1;Organizacao e infraestrutura;B1_1.2;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O sistema utilizado para aplicacao da prova funcionou adequadamente.
Exame por Provas;Exame;Bloco 1;Organizacao e infraestrutura;B1_1.3;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;Nao houve falhas tecnicas relevantes durante o exame.
Exame por Provas;Exame;Bloco 1;Organizacao e infraestrutura;B1_1.4;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O tempo de prova foi corretamente informado e controlado.
Exame por Provas;Exame;Bloco 1;Organizacao e infraestrutura;B1_1.5;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;As orientacoes iniciais foram claras e suficientes.
Exame por Provas;Exame;Bloco 1;Organizacao e infraestrutura;Justificativa_Bloco1;Texto longo;CONDICIONAL;Abrir quando houver nota <= 2 no bloco;Descricao objetiva e fundamentada do fato observado
Exame por Provas;Exame;Bloco 2;Conduta e imparcialidade;B2_2.1;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;Os aplicadores/fiscais demonstraram postura etica e imparcial.
Exame por Provas;Exame;Bloco 2;Conduta e imparcialidade;B2_2.2;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;Nao houve tratamento diferenciado entre candidatos.
Exame por Provas;Exame;Bloco 2;Conduta e imparcialidade;B2_2.3;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;As regras foram aplicadas de forma uniforme.
Exame por Provas;Exame;Bloco 2;Conduta e imparcialidade;B2_2.4;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O sigilo das informacoes foi preservado.
Exame por Provas;Exame;Bloco 2;Conduta e imparcialidade;Justificativa_Bloco2;Texto longo;CONDICIONAL;Abrir quando houver nota <= 2 no bloco;Descricao objetiva e fundamentada do fato observado
Exame por Provas;Exame;Bloco 3;Conteudo e adequacao;B3_3.1;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O conteudo da prova estava compativel com o edital.
Exame por Provas;Exame;Bloco 3;Conteudo e adequacao;B3_3.2;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;As questoes estavam redigidas com clareza, sem erros materiais evidentes.
Exame por Provas;Exame;Bloco 3;Conteudo e adequacao;B3_3.3;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O nivel de dificuldade foi compativel com a certificacao pretendida.
Exame por Provas;Exame;Bloco 3;Conteudo e adequacao;B3_3.4;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O exame avaliou os conhecimentos e habilidades esperadas para a certificacao.
Exame por Provas;Exame;Bloco 3;Conteudo e adequacao;B3_3.5;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O tempo disponivel para realizacao do exame foi suficiente.
Exame por Provas;Exame;Bloco 3;Conteudo e adequacao;Justificativa_Bloco3;Texto longo;CONDICIONAL;Abrir quando houver nota <= 2 no bloco;Descricao objetiva e fundamentada do fato observado
Exame por Provas;Exame;Bloco 4;Integridade do processo;B4_4.1;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O modelo de aplicacao adotado garantiu igualdade de condicoes entre os candidatos.
Exame por Provas;Exame;Bloco 4;Integridade do processo;B4_4.2;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;Houve fiscalizacao adequada durante todo o exame.
Exame por Provas;Exame;Bloco 4;Integridade do processo;B4_4.3;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;O processo adotado dificultou praticas indevidas.
Exame por Provas;Exame;Bloco 4;Integridade do processo;B4_4.4;Nota 1-5;SIM;Se nota <= 2, exigir justificativa do bloco;Confio na credibilidade do processo de certificacao realizado.
Exame por Provas;Exame;Bloco 4;Integridade do processo;Justificativa_Bloco4;Texto longo;CONDICIONAL;Abrir quando houver nota <= 2 no bloco;Descricao objetiva e fundamentada do fato observado
Exame por Provas;Exame;Bloco 5;Bloco especifico - provas online;B5_5.1;Nota 1-5;SIM;Exibir apenas se Modalidade_Prova = Online (remota);Minha identidade foi verificada de forma rigorosa antes do inicio da prova.
